,Calls_Alley,Time_Alleys,Calls_All_Out,Time_All_Out,Calls_One_Out,Time_One_Out
0921,66.0,72.5757575758,42.0,2.11904761905,57,26.5438596491
0922,117.0,54.5811965812,73.0,3.49315068493,84,20.9285714286
0923,47.0,45.8723404255,52.0,4.03846153846,80,19.2625
0924,30.0,63.3,59.0,3.32203389831,60,21.15
0925,48.0,45.0208333333,34.0,2.17647058824,87,8.85057471264
0931,36.0,84.9722222222,24.0,3.66666666667,25,12.28
0932,25.0,51.28,41.0,3.17073170732,34,6.52941176471
0933,25.0,74.68,15.0,2.66666666667,38,14.3684210526
0934,32.0,93.125,54.0,3.90740740741,39,4.02564102564
0935,33.0,41.3636363636,35.0,5.0,45,13.5111111111
1011,57.0,53.0526315789,57.0,4.56140350877,20,27.85
1012,22.0,53.2727272727,31.0,5.25806451613,20,35.4
1013,43.0,82.7906976744,49.0,4.28571428571,62,24.0967741935
1014,39.0,63.5897435897,51.0,4.8431372549,38,9.60526315789
1021,20.0,128.9,21.0,2.38095238095,23,30.2173913043
1022,35.0,116.657142857,57.0,2.89473684211,65,22.2461538462
1023,28.0,72.25,36.0,4.08333333333,52,17.6730769231
1024,47.0,128.255319149,70.0,2.81428571429,57,9.17543859649
1031,65.0,80.0307692308,75.0,3.62666666667,72,25.5555555556
1032,42.0,171.833333333,48.0,2.85416666667,52,16.3461538462
1033,81.0,77.5555555556,52.0,5.0,50,40.04
1034,41.0,113.292682927,118.0,3.29661016949,77,27.7402597403
1111,77.0,65.7662337662,52.0,3.90384615385,55,11.9454545455
1112,39.0,100.769230769,38.0,3.31578947368,18,18.1666666667
1113,58.0,40.1379310345,40.0,4.05,33,18.9393939394
1114,42.0,97.380952381,21.0,4.80952380952,19,9.21052631579
1115,63.0,83.5079365079,24.0,4.95833333333,25,12.64
1121,45.0,62.0666666667,62.0,3.1935483871,52,22.2884615385
1122,33.0,88.0,36.0,3.75,36,16.9444444444
1123,23.0,78.1304347826,56.0,3.67857142857,39,15.5897435897
1124,27.0,93.0,47.0,3.93617021277,24,3.75
1125,12.0,94.75,17.0,2.82352941176,21,13.6666666667
1131,32.0,62.28125,29.0,4.89655172414,24,30.875
1132,43.0,94.3953488372,31.0,4.41935483871,23,26.7826086957
1133,60.0,61.1833333333,52.0,5.32692307692,44,9.31818181818
1134,33.0,82.0606060606,26.0,3.76923076923,33,14.696969697
1135,25.0,98.4,39.0,3.4358974359,39,20.6666666667
1211,29.0,45.3103448276,53.0,3.03773584906,63,14.380952381
1212,66.0,58.5757575758,44.0,3.0,54,16.2592592593
1213,34.0,82.0588235294,60.0,2.85,77,16.7532467532
1214,7.0,74.7142857143,41.0,3.60975609756,58,30.9482758621
1215,36.0,88.9166666667,35.0,2.25714285714,66,19.2575757576
1221,42.0,74.9761904762,66.0,3.5,67,14.8208955224
1222,34.0,80.7352941176,28.0,3.92857142857,56,22.4107142857
1223,31.0,133.838709677,21.0,5.38095238095,40,25.4
1224,6.0,72.5,34.0,3.67647058824,35,20.6571428571
1225,27.0,116.62962963,53.0,3.30188679245,56,14.7321428571
1231,36.0,47.1666666667,56.0,2.66071428571,79,14.6455696203
1232,6.0,49.1666666667,48.0,3.16666666667,84,11.3214285714
1233,54.0,48.2777777778,61.0,2.39344262295,86,13.5348837209
1234,55.0,79.2181818182,93.0,2.94623655914,91,10.3736263736
1235,68.0,75.5588235294,64.0,2.5625,100,12.94
1411,36.0,28.0,38.0,2.68421052632,113,6.76991150442
1412,57.0,33.2280701754,14.0,2.42857142857,43,4.90697674419
1413,37.0,76.4594594595,13.0,2.53846153846,44,15.7727272727
1414,19.0,85.4736842105,43.0,1.76744186047,60,13.8666666667
1421,46.0,83.3695652174,40.0,3.65,85,16.6588235294
1422,71.0,82.323943662,25.0,2.88,63,18.3968253968
1423,29.0,66.3448275862,54.0,2.77777777778,47,11.9361702128
1424,22.0,51.8181818182,50.0,2.78,51,18.1568627451
1431,43.0,54.976744186,26.0,2.53846153846,57,12.5964912281
1432,51.0,78.862745098,45.0,2.55555555556,77,15.6493506494
1433,32.0,86.40625,57.0,2.73684210526,72,17.0694444444
